filename,label,bearing_location,fault_size,motor_load,is_synthetic,mean,std,rms,peak,peak2peak,crest_factor,kurtosis,skewness,shape_factor,spectral_centroid,dominant_frequency,low_band_energy,mid_band_energy,high_band_energy
100.mat,normal,DE,none,3,False,0.011094915865384615,0.06903398972514373,0.06991987482419583,0.22530461538461538,0.43475446153846153,3.222325782874917,-0.21686537984249865,-0.00763005514863951,1.2396624981212645,708.6969841805549,2097.65625,0.6771502652082154,0.3217304270497292,0.0011193067146258546
100.mat,normal,DE,none,3,False,0.013967044471153845,0.06366436295338845,0.06517844307376458,0.21341353846153846,0.41013784615384613,3.2742963531168896,0.015982944664652887,-0.15080012940086443,1.2396330864795944,973.9313321458194,2097.65625,0.5133684657395094,0.4845009930438503,0.002130539814635346
100.mat,normal,DE,none,3,False,0.012876091947115385,0.06411855246641174,0.06539864306098839,0.22196676923076922,0.40742584615384614,3.39405771799236,-0.14495986499304836,-0.12015551551317916,1.2386043623806462,794.0786203407631,2097.65625,0.6414263944783762,0.35640968092809344,0.0021639235745986325
100.mat,normal,DE,none,3,False,0.011879260817307693,0.06487430394783009,0.06595295406788891,0.19067446153846154,0.3638252307692308,2.891067795679008,-0.175646684723608,-0.13881651066770828,1.2465678638375897,888.1911509420482,2097.65625,0.5656301551094708,0.4332224454098728,0.0011473983998505884
100.mat,normal,DE,none,3,False,0.013547776442307691,0.05978771947635241,0.06130345542229865,0.1733593846153846,0.3458843076923077,2.8278892832115727,-0.028829904756414226,-0.18580661918104954,1.2463813493175655,961.3716714492849,2097.65625,0.5183813950017314,0.4787049128185033,0.002913690653690615
100.mat,normal,DE,none,3,False,0.013020533653846153,0.06480603470272848,0.06610110763460919,0.18128676923076922,0.34317230769230767,2.7425677982604424,-0.3513809330884925,0.07446986453384205,1.2436121382969838,877.6146663284774,2097.65625,0.5571856806004678,0.4406939648566593,0.0021203532603846146
100.mat,normal,DE,none,3,False,0.011042965745192306,0.058826548460074006,0.05985407167582608,0.20944984615384615,0.3717526153846154,3.499341653559379,0.07438469564724448,-0.32276828659807616,1.2350689938471786,1058.980179071578,2097.65625,0.42607654892610447,0.5722640735944633,0.0016593759405929141
100.mat,normal,DE,none,3,False,0.011746227764423077,0.06869821961499747,0.06969518810480482,0.19463815384615382,0.3686233846153846,2.792705768304579,-0.2861163364814403,-0.10982295437406242,1.2404506134438475,808.443512401297,2097.65625,0.5721997209666598,0.4261064404632614,0.0016938375317760853
100.mat,normal,DE,none,3,False,0.011780046274038461,0.06468043331316836,0.0657444137839688,0.22843384615384613,0.42348923076923073,3.474574233804685,0.1456482623162043,-0.022057124772770973,1.2632952811866114,979.8032647657932,2097.65625,0.47412207069203166,0.5244919023619959,0.0013860256743850826
100.mat,normal,DE,none,3,False,0.010608418269230768,0.06552433457125317,0.06637753354246052,0.21487384615384614,0.3928227692307692,3.2371471894652126,-0.14881900751211719,-0.07057260989121295,1.248630895070947,970.241430513452,2097.65625,0.475640845081059,0.5222532847129996,0.002105868748910505
100.mat,normal,DE,none,3,False,0.013403334735576922,0.0731365863872566,0.07435462090828364,0.2422024615384615,0.4433076923076923,3.257396226039006,-0.025892349778326995,-0.05247696019612237,1.2517146791185825,763.9464561125543,2097.65625,0.6041972735440502,0.39420430634567255,0.0015984191763584255
100.mat,normal,DE,none,3,False,0.01469495733173077,0.059513962487543086,0.061301333606619636,0.1927606153846154,0.34275507692307694,3.1444767028796847,-0.18206905802936735,-0.010597226339778802,1.249666471561652,854.293960550006,2097.65625,0.5813249530839156,0.4172548885375127,0.001420157070733708
100.mat,normal,DE,none,3,False,0.011752543269230769,0.06017726048790455,0.06131414969747407,0.17690584615384616,0.3506824615384615,2.8852368829025585,-0.1596774394758027,-0.1747300370740497,1.238595526677815,924.7776887588548,2097.65625,0.5221422662358501,0.47525952766105883,0.00259820481573179
100.mat,normal,DE,none,3,False,0.013066575721153845,0.06516330611587674,0.06646045339168329,0.2225926153846154,0.39303138461538456,3.3492491251815757,-0.16120683299424243,-0.03638413286139892,1.2453893640859692,918.0071315687164,2097.65625,0.5238617963462681,0.4742559954911327,0.0018822068666665818
